player_id,country_id,caps,intl_goals,jersey_num
233530,11,20,1,21
311148,20,20,1,4
375754,42,20,1,5
315429,33,20,1,17
279417,17,41,2,6
267647,33,41,2,3
196748,20,105,5,16
207946,28,42,2,22
286259,51,42,2,20
358022,22,21,1,20
313805,14,21,1,8
233497,29,21,1,19
311174,48,21,1,23
356409,45,21,1,18
183893,48,43,2,13
298664,27,43,2,8
290824,5,43,2,16
229439,11,65,3,18
175689,27,22,1,5
300237,38,22,1,23
358014,19,22,1,14
299896,15,22,1,21
289964,7,45,2,3
291372,29,69,3,5
228617,11,46,2,4
216715,32,23,1,2
305768,18,23,1,3
229440,11,23,1,19
339551,23,23,1,21
200201,36,47,2,4
216650,45,47,2,16
216627,45,48,2,11
312679,42,24,1,20
207888,20,97,4,17
216069,6,74,3,4
239237,1,25,1,12
216006,5,25,1,21
307026,14,25,1,16
347716,29,25,1,8
306634,21,25,1,19
213878,23,76,3,5
229499,51,76,3,3
186793,38,77,3,14
339447,14,26,1,2
321971,48,26,1,20
296273,48,26,1,11
183796,14,54,2,7
296827,1,28,1,5
181930,17,58,2,2
288961,25,58,2,3
181698,13,29,1,5
278732,9,29,1,14
286481,51,89,3,16
356711,33,31,1,6
200199,36,66,2,8
358099,6,33,1,16
213879,23,100,3,3
268474,29,67,2,2
216646,45,34,1,15
290864,5,34,1,2
356459,33,34,1,14
216642,45,35,1,3
296303,23,35,1,6
175512,48,36,1,15
349578,17,36,1,3
273291,33,36,1,5
289027,29,78,2,17
291329,28,42,1,9
216645,45,44,1,20
229436,11,44,1,6
185359,51,89,2,15
237071,23,90,2,14
197409,3,46,1,17
207924,18,46,1,17
238381,21,46,1,2
183798,14,47,1,19
182372,2,96,2,14
216880,5,48,1,3
228351,22,49,1,6
229443,13,49,1,18
197464,18,51,1,2
200213,13,52,1,7
238112,31,52,1,15
267829,51,56,1,22
209940,14,61,1,15
276131,51,62,1,5
230117,23,65,1,7
216964,32,70,1,6
198489,28,77,1,3
184373,29,80,1,15
208120,14,81,1,4
209960,31,92,1,2
176971,28,119,1,5
94918,13,50,0,22
178185,23,120,0,18
159304,27,139,0,1
179048,15,110,0,1
178420,48,98,0,1
182021,19,11,0,23
184982,48,14,0,22
178958,28,76,0,1
179038,7,79,0,12
367333,38,1,0,16
358097,6,3,0,22
195223,20,2,0,22
209168,3,8,0,18
214377,27,47,0,15
176644,43,153,0,1
215484,22,49,0,11
178630,11,7,0,23
298516,25,11,0,1
356612,2,13,0,3
213871,23,20,0,22
195231,31,32,0,1
212246,19,57,0,3
215471,22,18,0,5
274703,2,3,0,12
214404,36,7,0,22
181951,48,16,0,14
214874,14,20,0,18
207809,7,8,0,14
210702,15,49,0,3
286238,51,54,0,17
309426,7,6,0,22
253999,18,6,0,13
184320,7,9,0,1
175546,31,14,0,12
175413,43,32,0,23
299066,36,33,0,1
175629,51,4,0,23
216990,9,9,0,16
202650,11,79,0,1
198117,29,56,0,1
189300,33,90,0,1
196620,45,41,0,5
254141,19,40,0,15
275793,17,21,0,18
196633,45,57,0,1
306144,2,10,0,21
349832,2,8,0,23
184856,33,31,0,16
299904,6,24,0,13
254089,32,14,0,22
354873,1,22,0,22
216432,38,60,0,18
306180,9,21,0,2
329737,25,16,0,11
254091,32,2,0,12
358893,38,11,0,22
216438,38,43,0,7
317072,9,30,0,12
321682,1,29,0,8
202280,17,48,0,19
306206,25,47,0,2
214571,19,11,0,12
214407,36,35,0,21
276139,48,25,0,12
357990,15,21,0,13
299887,15,6,0,23
198546,42,60,0,1
297230,23,54,0,2
182479,33,14,0,21
305708,1,7,0,16
378836,27,3,0,18
182620,3,2,0,22
229450,17,22,0,21
356166,1,1,0,1
298676,42,13,0,8
299064,36,11,0,20
376071,21,17,0,16
323339,1,26,0,6
367555,28,6,0,20
276132,51,41,0,4
182379,2,36,0,4
228912,20,45,0,1
229498,51,57,0,1
228328,22,18,0,1
302630,17,24,0,1
233333,27,2,0,20
216820,43,46,0,2
323326,1,27,0,23
215017,38,68,0,1
358012,19,17,0,21
215285,31,56,0,13
214581,29,12,0,12
301165,14,11,0,13
200259,9,15,0,5
280487,13,43,0,6
359997,6,13,0,2
199160,14,2,0,23
290822,5,8,0,23
278126,42,8,0,2
349582,11,11,0,5
201001,2,47,0,5
200133,2,17,0,6
268911,29,5,0,14
200205,36,7,0,10
303419,17,18,0,22
266783,2,45,0,1
299956,18,40,0,1
360111,22,2,0,12
298655,27,8,0,12
271043,7,35,0,4
359448,19,2,0,16
297105,19,56,0,1
200209,13,23,0,2
200130,2,18,0,2
291332,28,1,0,2
298613,7,5,0,15
369983,38,10,0,2
358046,38,4,0,13
199175,14,52,0,1
367433,48,16,0,5
329745,25,21,0,13
363578,42,11,0,12
267344,25,19,0,23
298662,27,19,0,6
296312,23,26,0,12
321731,22,29,0,2
359375,15,5,0,19
379889,25,6,0,20
240718,28,4,0,18
268411,42,13,0,22
294626,21,40,0,23
362881,18,1,0,22
230121,6,30,0,1
346763,25,4,0,12
298738,5,14,0,12
379888,25,4,0,22
232760,32,5,0,23
353237,21,21,0,12
359436,36,7,0,11
269768,36,29,0,12
349631,2,5,0,19
354883,1,6,0,17
299090,22,47,0,19
359428,36,7,0,14
360109,22,15,0,8
319298,22,13,0,3
200261,9,46,0,6
228624,11,4,0,12
370062,3,8,0,2
349576,17,37,0,4
361222,18,4,0,20
228942,27,11,0,11
298677,32,10,0,8
355023,9,9,0,22
379264,31,4,0,23
234405,48,19,0,3
299442,20,38,0,20
359993,6,7,0,15
379985,38,1,0,5
356933,3,3,0,12
353379,25,7,0,8
362649,22,4,0,22
270714,43,16,0,4
367558,28,2,0,16
303034,43,65,0,16
229051,3,17,0,6
349568,17,3,0,12
367920,43,3,0,19
321734,29,2,0,23
302381,20,3,0,12
358738,32,7,0,1
358694,20,4,0,2
312987,14,10,0,6
228686,13,43,0,1
319460,45,6,0,12
295149,3,13,0,16
291398,42,10,0,15
332293,28,7,0,21
228691,13,8,0,15
358881,38,5,0,21
350129,31,7,0,16
312234,3,3,0,13
356748,18,11,0,12
318688,2,20,0,16
311850,21,16,0,17
319436,32,5,0,18
317056,19,16,0,18
356189,18,9,0,14
319428,32,15,0,7
367343,38,2,0,12
359995,6,13,0,6
365556,48,12,0,21
306410,3,9,0,19
290931,9,47,0,3
350003,29,17,0,21
306780,27,2,0,17
374529,6,2,0,21
274329,42,9,0,14
274283,42,3,0,3
356518,42,3,0,6
288824,27,1,0,4
329092,31,12,0,6
319432,32,11,0,5
370438,9,2,0,23
270948,43,6,0,22
323574,21,6,0,1
365747,6,10,0,19
366309,1,5,0,11
350124,31,21,0,20
305382,51,14,0,19
319413,22,5,0,23
380069,20,2,0,23
319340,19,3,0,13
274281,42,5,0,21
368009,33,11,0,12
336434,19,5,0,22
323556,22,8,0,4
370523,28,3,0,6
375453,36,3,0,19
356710,33,10,0,4
364088,1,5,0,3
356712,33,9,0,13
312116,51,28,0,18
358869,38,3,0,3
379942,1,1,0,21
321736,29,12,0,3
379974,14,1,0,12
356466,29,11,0,16
371042,31,7,0,17
269071,21,16,0,4
336869,17,17,0,5
270400,23,19,0,19
358106,5,16,0,1
320375,9,22,0,21
313021,32,11,0,3
379808,6,2,0,14
376349,36,3,0,6
358009,18,9,0,16
376285,1,2,0,20
358885,38,2,0,6
336485,15,6,0,2
379952,20,1,0,15
313051,32,2,0,13
339117,3,6,0,1
379164,3,1,0,10
306364,3,6,0,3
346731,25,3,0,18
307541,14,22,0,17
355859,9,1,0,1
313410,43,7,0,17
330565,18,16,0,7
315614,13,5,0,4
358732,32,8,0,16
380004,28,1,0,23
373555,48,4,0,6
359440,19,5,0,4
308082,31,14,0,5
369546,13,2,0,16
313559,45,21,0,13
376360,28,1,0,14
367557,28,1,0,7
359223,27,10,0,2
358101,6,9,0,7
370522,28,7,0,17
339116,3,1,0,21
380060,9,3,0,4
368708,36,2,0,15
315436,33,1,0,15
356704,13,4,0,20
312014,33,4,0,18
336791,9,8,0,20
370469,21,8,0,15
362645,22,2,0,13
379736,20,2,0,3
369392,18,4,0,21
315424,33,17,0,22
376230,6,4,0,5
336085,32,1,0,14
339987,15,9,0,20
368860,19,2,0,17
336098,32,6,0,21
368973,48,4,0,2
379939,1,2,0,14
379911,5,1,0,17
368655,51,5,0,13
369094,48,2,0,16
332827,17,2,0,23
336043,18,3,0,19
336450,18,1,0,23
319482,51,0,0,12
367415,6,0,0,12
380663,5,0,0,13
306818,42,0,0,23
360642,13,0,0,12
269859,43,0,0,12
356676,45,0,0,21
369026,15,0,0,12
309420,27,0,0,13
379165,3,0,0,8
369050,15,0,0,15
380000,15,0,0,14
380009,23,0,0,1
379910,5,0,0,20
